時間,設備,值
2024-10-26 15:25:48,SA-52/TEMPERATURE,34.53
2024-10-26 15:26:23,SA-52/TEMPERATURE,34.07
2024-10-26 15:26:28,SA-52/TEMPERATURE,34.53
2024-10-26 15:26:33,SA-52/TEMPERATURE,34.07
2024-10-26 15:26:38,SA-52/TEMPERATURE,34.53
2024-10-26 15:27:03,SA-52/LED_LEVEL,2
2024-10-26 15:27:15,SA-52/TEMPERATURE,34.07
2024-10-26 15:27:23,SA-52/LED_LEVEL,5
2024-10-26 15:27:23,SA-52/TEMPERATURE,34.53
2024-10-26 15:27:28,SA-52/LED_LEVEL,10
2024-10-26 15:27:38,SA-52/LED_LEVEL,7
2024-10-26 15:27:38,SA-52/TEMPERATURE,34.07
2024-10-26 15:27:43,SA-52/LED_LEVEL,2
2024-10-26 15:37:33,SA-52/TEMPERATURE,34.07
2024-10-26 15:37:33,SA-52/LIGHT_STATE,1
2024-10-26 15:37:38,SA-52/LED_LEVEL,3
2024-10-26 15:37:43,SA-52/TEMPERATURE,33.6
2024-10-26 15:37:48,SA-52/LED_LEVEL,10
2024-10-26 15:37:48,SA-52/TEMPERATURE,34.07
2024-10-26 15:37:53,SA-52/TEMPERATURE,34.53
2024-10-26 15:37:58,SA-52/LED_LEVEL,4
2024-10-26 15:37:58,SA-52/TEMPERATURE,34.07
2024-10-26 15:38:03,SA-52/LED_LEVEL,8
2024-10-26 15:38:03,SA-52/TEMPERATURE,33.6
2024-10-26 15:38:08,SA-52/LED_LEVEL,3
2024-10-26 15:38:08,SA-52/TEMPERATURE,34.07
2024-10-26 15:38:48,SA-52/TEMPERATURE,33.6
2024-10-26 15:40:08,SA-52/LED_LEVEL,3
2024-10-26 15:41:13,SA-52/LED_LEVEL,3
2024-10-26 15:41:53,SA-52/LED_LEVEL,3
2024-10-26 15:43:23,SA-52/LED_LEVEL,1
2024-10-26 15:43:43,SA-52/LED_LEVEL,1
2024-10-26 15:43:43,SA-52/TEMPERATURE,34.07
2024-10-26 15:43:43,SA-52/LIGHT_STATE,1
2024-10-26 15:43:53,SA-52/TEMPERATURE,34.53
2024-10-26 15:43:58,SA-52/TEMPERATURE,34.07
2024-10-26 15:44:13,SA-52/LED_LEVEL,0
2024-10-26 15:44:13,SA-52/TEMPERATURE,34.53
2024-10-26 15:44:18,SA-52/LED_LEVEL,8
2024-10-26 15:44:18,SA-52/TEMPERATURE,34.07
2024-10-26 15:44:23,SA-52/LED_LEVEL,3
2024-10-26 15:44:28,SA-52/LED_LEVEL,1
2024-10-26 15:44:28,SA-52/TEMPERATURE,34.53
2024-10-26 15:44:33,SA-52/LED_LEVEL,0
2024-10-26 15:44:33,SA-52/TEMPERATURE,34.07
2024-10-26 15:45:13,SA-52/TEMPERATURE,34.53
2024-10-26 15:45:28,SA-52/TEMPERATURE,34.07
2024-10-26 15:45:28,SA-52/LIGHT_STATE,1
2024-10-26 15:45:33,SA-52/LED_LEVEL,2
2024-10-26 15:45:33,SA-52/TEMPERATURE,34.53
2024-10-26 15:45:38,SA-52/LED_LEVEL,10
2024-10-26 15:45:38,SA-52/TEMPERATURE,34.07
2024-10-26 15:45:43,SA-52/TEMPERATURE,34.53
2024-10-26 15:45:48,SA-52/LED_LEVEL,2
2024-10-26 15:45:48,SA-52/TEMPERATURE,34.07
2024-10-26 15:45:56,SA-52/LED_LEVEL,3
2024-10-26 15:45:56,SA-52/LED_LEVEL,5
2024-10-26 15:45:57,SA-52/LED_LEVEL,6
2024-10-26 15:45:59,SA-52/LED_LEVEL,9
2024-10-26 15:45:59,SA-52/LED_LEVEL,10
2024-10-26 15:46:01,SA-52/LED_LEVEL,6
2024-10-26 15:46:01,SA-52/LED_LEVEL,4
2024-10-26 15:46:02,SA-52/LED_LEVEL,2
2024-10-26 15:46:04,SA-52/LED_LEVEL,0
2024-10-26 15:46:06,SA-52/LED_LEVEL,1
2024-10-26 15:46:07,SA-52/LED_LEVEL,2
2024-10-26 15:46:08,SA-52/LED_LEVEL,3
2024-10-26 15:46:09,SA-52/LED_LEVEL,4
2024-10-26 15:46:10,SA-52/LED_LEVEL,6
2024-10-26 15:46:11,SA-52/LED_LEVEL,7
2024-10-26 15:46:12,SA-52/TEMPERATURE,34.53
2024-10-26 15:46:14,SA-52/TEMPERATURE,34.07
2024-10-26 15:46:15,SA-52/TEMPERATURE,33.6
2024-10-26 15:46:16,SA-52/TEMPERATURE,34.07
2024-10-26 15:46:17,SA-52/TEMPERATURE,33.6
2024-10-26 15:46:18,SA-52/TEMPERATURE,34.07
2024-10-26 15:46:19,SA-52/TEMPERATURE,34.53
2024-10-26 15:46:20,SA-52/LED_LEVEL,9
2024-10-26 15:46:20,SA-52/TEMPERATURE,34.07
2024-10-26 15:46:21,SA-52/LED_LEVEL,10
2024-10-26 15:46:21,SA-52/TEMPERATURE,34.53
2024-10-26 15:46:22,SA-52/TEMPERATURE,34.07
2024-10-26 15:46:26,SA-52/LED_LEVEL,9
2024-10-26 15:46:27,SA-52/LED_LEVEL,6
2024-10-26 15:46:27,SA-52/TEMPERATURE,34.53
2024-10-26 15:46:28,SA-52/LED_LEVEL,4
2024-10-26 15:46:28,SA-52/TEMPERATURE,34.07
2024-10-26 15:46:29,SA-52/LED_LEVEL,3
2024-10-26 15:46:30,SA-52/LED_LEVEL,1
2024-10-26 15:46:31,SA-52/LED_LEVEL,0
2024-10-26 15:46:32,SA-52/TEMPERATURE,33.6
2024-10-26 15:46:33,SA-52/TEMPERATURE,34.07
2024-10-26 15:46:58,SA-52/TEMPERATURE,34.53
2024-10-26 15:46:59,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:00,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:01,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:02,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:03,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:09,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:10,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:12,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:15,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:16,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:18,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:19,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:20,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:27,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:29,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:32,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:33,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:34,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:37,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:39,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:40,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:41,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:42,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:43,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:44,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:48,SA-52/LED_LEVEL,2
2024-10-26 15:47:49,SA-52/LED_LEVEL,5
2024-10-26 15:47:50,SA-52/LED_LEVEL,10
2024-10-26 15:47:51,SA-52/LED_LEVEL,9
2024-10-26 15:47:51,SA-52/TEMPERATURE,34.53
2024-10-26 15:47:52,SA-52/LED_LEVEL,5
2024-10-26 15:47:52,SA-52/TEMPERATURE,34.07
2024-10-26 15:47:53,SA-52/LED_LEVEL,4
2024-10-26 15:47:54,SA-52/LED_LEVEL,3
2024-10-26 15:47:56,SA-52/LED_LEVEL,4
2024-10-26 15:47:57,SA-52/LED_LEVEL,8
2024-10-26 15:47:58,SA-52/LED_LEVEL,10
2024-10-26 15:48:01,SA-52/LED_LEVEL,7
2024-10-26 15:48:02,SA-52/LED_LEVEL,4
2024-10-26 15:48:22,SA-52/TEMPERATURE,34.53
2024-10-26 15:48:23,SA-52/TEMPERATURE,34.07
2024-10-26 15:48:32,SA-52/TEMPERATURE,33.6
2024-10-26 15:48:34,SA-52/TEMPERATURE,34.07
2024-10-26 15:48:44,SA-52/TEMPERATURE,33.6
2024-10-26 15:48:46,SA-52/TEMPERATURE,34.07
2024-10-26 15:48:53,SA-52/TEMPERATURE,34.53
2024-10-26 15:48:55,SA-52/TEMPERATURE,34.07
2024-10-26 15:48:55,SA-52/LIGHT_STATE,0
2024-10-26 15:49:05,SA-52/TEMPERATURE,33.6
2024-10-26 15:49:06,SA-52/TEMPERATURE,34.07
2024-10-26 15:49:12,SA-52/TEMPERATURE,33.6
2024-10-26 15:49:12,SA-52/LIGHT_STATE,1
2024-10-26 15:49:13,SA-52/TEMPERATURE,34.07
2024-10-26 15:49:14,SA-52/LIGHT_STATE,0
2024-10-26 15:49:15,SA-52/LIGHT_STATE,1
2024-10-26 15:49:51,SA-52/LED_LEVEL,9
2024-10-26 15:49:51,SA-52/TEMPERATURE,33.6
2024-10-26 15:49:52,SA-52/LED_LEVEL,3
2024-10-26 15:49:53,SA-52/LED_LEVEL,2
2024-10-26 15:49:54,SA-52/LED_LEVEL,0
2024-10-26 15:49:54,SA-52/TEMPERATURE,33.13
2024-10-26 15:49:55,SA-52/LED_LEVEL,3
2024-10-26 15:49:55,SA-52/TEMPERATURE,33.6
2024-10-26 15:49:57,SA-52/LED_LEVEL,6
2024-10-26 15:49:58,SA-52/LED_LEVEL,10
2024-10-26 15:49:59,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:01,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:02,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:03,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:04,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:04,SA-52/LIGHT_STATE,0
2024-10-26 15:50:05,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:05,SA-52/LIGHT_STATE,1
2024-10-26 15:50:06,SA-52/TEMPERATURE,33.13
2024-10-26 15:50:07,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:07,SA-52/LIGHT_STATE,0
2024-10-26 15:50:08,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:09,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:09,SA-52/LIGHT_STATE,1
2024-10-26 15:50:10,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:11,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:12,SA-52/LED_LEVEL,6
2024-10-26 15:50:13,SA-52/LED_LEVEL,4
2024-10-26 15:50:13,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:14,SA-52/LED_LEVEL,3
2024-10-26 15:50:15,SA-52/LED_LEVEL,5
2024-10-26 15:50:16,SA-52/LED_LEVEL,8
2024-10-26 15:50:18,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:19,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:20,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:24,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:25,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:27,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:36,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:37,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:38,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:39,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:40,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:41,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:42,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:43,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:46,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:50,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:52,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:53,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:54,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:55,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:57,SA-52/TEMPERATURE,33.6
2024-10-26 15:50:58,SA-52/TEMPERATURE,34.07
2024-10-26 15:50:59,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:00,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:01,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:04,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:08,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:08,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:09,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:11,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:13,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:15,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:17,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:18,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:19,SA-52/LED_LEVEL,4
2024-10-26 15:51:19,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:20,SA-52/LED_LEVEL,2
2024-10-26 15:51:20,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:21,SA-52/LED_LEVEL,1
2024-10-26 15:51:21,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:22,SA-52/LED_LEVEL,3
2024-10-26 15:51:22,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:23,SA-52/LED_LEVEL,5
2024-10-26 15:51:23,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:24,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:27,SA-52/LED_LEVEL,3
2024-10-26 15:51:28,SA-52/LED_LEVEL,2
2024-10-26 15:51:29,SA-52/LED_LEVEL,1
2024-10-26 15:51:30,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:31,SA-52/LED_LEVEL,0
2024-10-26 15:51:33,SA-52/LED_LEVEL,2
2024-10-26 15:51:34,SA-52/LED_LEVEL,4
2024-10-26 15:51:35,SA-52/LED_LEVEL,7
2024-10-26 15:51:36,SA-52/LED_LEVEL,10
2024-10-26 15:51:36,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:38,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:43,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:45,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:49,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:50,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:52,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:54,SA-52/TEMPERATURE,33.6
2024-10-26 15:51:55,SA-52/TEMPERATURE,34.07
2024-10-26 15:51:59,SA-52/TEMPERATURE,33.6
2024-10-26 15:52:00,SA-52/TEMPERATURE,34.07
2024-10-26 15:52:05,SA-52/TEMPERATURE,33.13
2024-10-26 15:52:06,SA-52/TEMPERATURE,34.07
2024-10-26 15:52:07,SA-52/TEMPERATURE,33.6
2024-10-26 15:52:08,SA-52/TEMPERATURE,34.07
2024-10-26 15:52:09,SA-52/TEMPERATURE,33.6
2024-10-26 15:52:11,SA-52/TEMPERATURE,34.07
2024-10-26 15:52:12,SA-52/TEMPERATURE,33.6
2024-10-26 15:52:13,SA-52/TEMPERATURE,34.07
2024-10-26 15:57:40,SA-52/LED_LEVEL,8
2024-10-26 15:57:40,SA-52/TEMPERATURE,31.73
2024-10-26 15:57:43,SA-52/LED_LEVEL,4
2024-10-26 15:57:43,SA-52/TEMPERATURE,31.26
2024-10-26 15:57:43,SA-52/LED_LEVEL,5
2024-10-26 15:57:43,SA-52/TEMPERATURE,31.73
2024-10-26 15:57:43,SA-52/LED_LEVEL,8
2024-10-26 15:57:43,SA-52/TEMPERATURE,32.19
2024-10-26 15:57:44,SA-52/LED_LEVEL,9
2024-10-26 15:57:45,SA-52/LED_LEVEL,10
2024-10-26 15:57:46,SA-52/LED_LEVEL,7
2024-10-26 15:57:46,SA-52/TEMPERATURE,31.73
2024-10-26 15:57:47,SA-52/LED_LEVEL,5
2024-10-26 15:57:47,SA-52/TEMPERATURE,32.19
2024-10-26 15:57:49,SA-52/LED_LEVEL,4
2024-10-26 15:57:49,SA-52/TEMPERATURE,31.73
2024-10-26 15:57:50,SA-52/LED_LEVEL,3
2024-10-26 15:57:50,SA-52/TEMPERATURE,32.19
2024-10-26 15:57:51,SA-52/LED_LEVEL,2
2024-10-26 15:57:51,SA-52/TEMPERATURE,31.73
2024-10-26 15:57:52,SA-52/TEMPERATURE,32.19
2024-10-26 15:57:53,SA-52/LED_LEVEL,1
2024-10-26 15:57:53,SA-52/TEMPERATURE,32.66
2024-10-26 15:57:54,SA-52/TEMPERATURE,32.19
2024-10-26 15:57:56,SA-52/LED_LEVEL,3
2024-10-26 15:57:57,SA-52/LED_LEVEL,5
2024-10-26 15:57:59,SA-52/LED_LEVEL,9
2024-10-26 15:58:00,SA-52/LED_LEVEL,10
2024-10-26 15:58:02,SA-52/LED_LEVEL,9
2024-10-26 15:58:03,SA-52/LED_LEVEL,5
2024-10-26 15:58:04,SA-52/LED_LEVEL,3
2024-10-26 15:58:04,SA-52/TEMPERATURE,32.66
2024-10-26 15:58:05,SA-52/LED_LEVEL,2
2024-10-26 15:58:05,SA-52/TEMPERATURE,32.19
2024-10-26 15:58:06,SA-52/TEMPERATURE,32.66
2024-10-26 15:58:07,SA-52/LED_LEVEL,1
2024-10-26 15:58:10,SA-52/LED_LEVEL,0
2024-10-26 15:58:10,SA-52/TEMPERATURE,32.19
2024-10-26 15:58:10,SA-52/LED_LEVEL,1
2024-10-26 15:58:11,SA-52/LED_LEVEL,2
2024-10-26 15:58:11,SA-52/TEMPERATURE,32.66
2024-10-26 15:58:14,SA-52/LED_LEVEL,3
2024-10-26 15:58:14,SA-52/TEMPERATURE,32.19
2024-10-26 15:58:14,SA-52/LED_LEVEL,6
2024-10-26 15:58:14,SA-52/LED_LEVEL,9
2024-10-26 15:58:17,SA-52/LED_LEVEL,10
2024-10-26 15:58:17,SA-52/TEMPERATURE,32.66
2024-10-26 15:58:17,SA-52/LED_LEVEL,8
2024-10-26 15:58:18,SA-52/LED_LEVEL,5
2024-10-26 15:58:19,SA-52/LED_LEVEL,2
2024-10-26 15:58:19,SA-52/TEMPERATURE,32.19
2024-10-26 15:58:20,SA-52/TEMPERATURE,32.66
2024-10-26 15:58:21,SA-52/LED_LEVEL,4
2024-10-26 15:58:22,SA-52/LED_LEVEL,7
2024-10-26 15:58:24,SA-52/LED_LEVEL,10
2024-10-26 15:58:25,SA-52/LED_LEVEL,5
2024-10-26 15:58:25,SA-52/TEMPERATURE,32.19
2024-10-26 15:58:26,SA-52/LED_LEVEL,3
2024-10-26 15:58:26,SA-52/TEMPERATURE,32.66
2024-10-26 15:58:27,SA-52/TEMPERATURE,32.19
2024-10-26 15:58:28,SA-52/LED_LEVEL,2
2024-10-26 15:58:28,SA-52/TEMPERATURE,32.66
2024-10-26 15:58:38,SA-52/TEMPERATURE,32.19
2024-10-26 15:58:39,SA-52/TEMPERATURE,32.66
2024-10-26 15:58:47,SA-52/TEMPERATURE,32.19
2024-10-26 15:58:48,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:02,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:03,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:07,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:08,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:09,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:10,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:15,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:16,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:18,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:19,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:21,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:22,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:24,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:25,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:26,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:27,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:30,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:32,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:33,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:35,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:36,SA-52/TEMPERATURE,33.13
2024-10-26 15:59:37,SA-52/TEMPERATURE,32.66
2024-10-26 15:59:38,SA-52/TEMPERATURE,33.13
